p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[0.13211083501739665, -1.270138540698684, 5.180543745733319, 5.417480321398295]","[-1.5638890173682698, 1.1946317852906234, 12.103870118604277, 12.263267485547123]","[0.36602455778390613, -1.2941560125724985, 7.696479682812124, 7.813819609044112]","[1.0657536245669434, 1.369662767980557, 4.0505260814874475, 4.505432584010529]"
"[0.1478981036538336, 1.215578044743717, 9.774187958526719, 9.89518107093145]","[2.0441616361772694, -0.18587366396855054, 6.709146067792982, 7.0169046156921695]","[-0.6837075347625307, -1.618984911456704, 4.677645701988762, 4.998009710165984]","[-1.508352205068574, 0.5892805306815403, 7.870439900328644, 8.089904603210393]"
"[0.43686744389966425, -1.9867031100674144, 14.299545564925182, 14.473949016092547]","[-1.0154116942905866, 1.6571483872157704, 3.92068821348837, 4.377232158168509]","[0.6000284376946294, 0.16267862580297635, 9.53547794761312, 9.556306910293094]","[-0.02148418730370931, 0.16687609704867656, 1.2757079026104394, 1.5925119154458542]"
"[-0.9297835510821824, -0.262504795103809, 1.9745679690495894, 2.3901211746888693]","[-0.635896371125643, 0.49239307725011805, 3.0009947873462375, 3.1086891874193388]","[2.4632562462199488, -1.435133264811654, 16.061457224487825, 16.312841892488464]","[-0.8975763240121329, 1.2052449826653497, 7.994399647753415, 8.188347745403284]"
"[-1.7205298630093908, -1.0648046991032767, 9.335926715702177, 9.598641260287062]","[0.9316973731308601, 0.6913527437463513, 1.6492502497543684, 2.0192123738387204]","[0.9408573311750896, 0.7307637164972919, 16.429405873450662, 16.472879805744775]","[-0.15202484129654656, -0.3573117611403571, 1.616836789729946, 1.909266560129491]"
"[0.5596418794081139, 1.222325996231414, 13.182207113555314, 13.283757698968426]","[-1.315148862453574, 0.33204722617438587, 1.9399644618529404, 2.3694931139463997]","[0.35872199812972905, -2.117037095453992, 6.490414983624044, 6.8371907833616845]","[0.39678498491573044, 0.5626638730481924, 7.418833069604807, 7.509558403723487]"
"[2.0158394672909794, 0.21567844915872741, 5.0344022451018615, 5.507784151797358]","[-0.7274464706885972, 0.7318199715916313, 13.194550012587628, 13.235257930474113]","[-1.4597663573561825, -1.3909947187258673, 5.696250472184651, 6.043526882576104]","[0.17137336075376466, 0.44349629797549733, 5.106216898763081, 5.213431035152538]"
"[-0.6275603870815627, -0.046492545605296434, 2.8156408879522825, 3.03383940776758]","[1.426615702419484, -0.3902482335660794, 2.487482288915632, 2.895903623538641]","[0.13036301102125214, 1.9279302527516933, 8.843355289037012, 9.052624257927675]","[-0.9294183263591753, -1.491189473580319, 14.88494116273218, 15.017632710766094]"
"[1.188822733640826, -0.4138287984975226, 5.599461597662052, 5.81540009768573]","[-1.531635525758197, -0.08002244357030375, 11.103355256167339, 11.20928064297002]","[0.44145932419168066, 2.0676679679981937, 7.967161152758898, 8.243601009740589]","[-0.0986465320743054, -1.5738167259303748, 4.36144162204887, 4.731718249603707]"
"[0.9409971594508514, -0.41272072621874983, 7.119959351883699, 7.254652960025397]","[-0.8067044497473517, -0.29895420932222705, 11.612429743433797, 11.644734168183643]","[0.3318468871456825, 2.1372052210102783, 7.343077113567901, 7.65569811460657]","[-0.46613959684917666, -1.4255302854693226, 2.9559534197517214, 3.4449147571843994]"
"[-0.43795270744696635, -1.3617850359944152, 4.14285380430386, 4.482170573286718]","[-1.537830758869835, 1.531758385855041, 9.577025306327807, 9.820477815593833]","[1.348872567721862, 0.7360696242287148, 3.8795245403100505, 4.174102294805038]","[0.6269108985949388, -0.9060429740893396, 11.43201597769539, 11.523249316314406]"
"[-0.06698903868700586, -1.4766323846266698, 9.880816894597606, 10.034731066709357]","[0.3250988717199048, -0.5523015734603434, 0.6529756936337566, 0.9210142093805134]","[0.10071631163770955, 2.999762486933731, 10.318832083451008, 10.74700785953312]","[-0.35882614467060736, -0.9708285288467129, 8.178794956954755, 8.297246864377026]"
"[0.5329559981864982, -0.19376909601741094, 3.408748681982786, 3.5807136832589324]","[0.3616444700088457, -1.0192522309566034, 0.7581683520721753, 1.3250074324492784]","[-0.8519078218153625, -0.793506397382417, 9.14964727826349, 9.224023431732785]","[-0.04269264637998205, 2.0065277243564292, 15.714855316318669, 15.870255452559011]"
"[-1.054935295585336, 1.8548690358140645, 10.838350981833711, 11.086191138948186]","[-0.2098041553661052, -0.5687612737642762, 10.759856194235695, 10.777438290416658]","[0.2486005908762382, 0.23243769080794666, -0.06472082937771814, 0.36219046455074544]","[1.0161388600752, -1.51854545285771, 7.497933281945396, 7.774180106084384]"
"[-0.18675917682901277, 0.36836155764014156, 1.291390839269205, 1.6488219652252774]","[-1.3844164149839508, 1.5028465304254066, 19.83436484200632, 19.93961756912276]","[0.6054103106655137, -0.20474958030986637, 1.0992276788325932, 1.275895425876616]","[0.9657652811474611, -1.6664585077557013, 6.806436268529039, 7.135665039775386]"
"[-0.18051811452314764, 0.2522198813964257, 2.5575774701867027, 2.7418531179173753]","[0.177653241774681, 2.012766075688941, 10.112896653929392, 10.313322951201402]","[1.6190159973243954, -0.7272013312004476, 9.612348536721546, 9.775399868039612]","[-1.6161511245759355, -1.537784625884924, 6.748596967799421, 7.169424062841564]"
"[-1.290688777906526, 0.5269103950814794, 2.5695339899748744, 3.070239625416712]","[-0.15693734540100612, 0.9376210624332608, 6.912649640537113, 6.978513541785376]","[1.648117097619441, -2.0785854125375085, 16.13621259925178, 16.353144283161427]","[-0.20049097431190682, 0.6140539550227665, 3.413023398873327, 3.598102549636472]"
"[-0.3180308462553444, -0.7368934812210551, 2.972642509908173, 3.218868350761356]","[0.0008059208476873733, -0.07719034610239638, -0.19376373647127612, 0.23380974653578956]","[0.9272992459564582, -1.2670446940661824, 11.360431459307662, 11.468908086775475]","[-0.6100743205487984, 2.0811285213896293, 14.892109395892561, 15.078413815927387]"
"[-0.6407186729459375, -0.3930853759123888, 13.920226727131034, 13.972047201871849]","[0.7262060081181908, 0.9807268685880555, 6.776581886520256, 6.886394269476293]","[1.078990892833362, -1.1696348294368415, 1.7649580770169653, 2.378761780347185]","[-1.1644782280056134, 0.5819933367611745, 6.569652937968846, 6.762796748304668]"
"[0.4877628604982158, 1.8333338088585984, 13.134408751274577, 13.303836779453045]","[0.4863744653583165, -1.6444452479296343, 1.757908189480223, 2.458081591322098]","[-0.6040201167071515, 0.08448185935331733, 6.105045355535957, 6.136344179726385]","[-0.3701172091493814, -0.2733704202822863, 8.034057332346357, 8.101737449498478]"
"[-0.6929258527679538, -1.086472814597527, 18.785353187495552, 18.85286233279252]","[1.2864004237597797, 0.6396971193273497, 1.1639314004073014, 1.8520092798210135]","[-0.7736765689772374, -0.09337288201083604, 5.262512629324546, 5.320948854785558]","[0.1802019979854118, 0.5401485772810137, 3.8196224114097053, 3.974179532600902]"
"[-1.2740999873605248, -0.6564285476395155, 2.7778363942150186, 3.26358064018]","[0.5082056808554094, 1.1830852853722513, 8.588475588819371, 8.68510451055301]","[-0.09413921462421104, -1.8627876658646527, 9.039303899811326, 9.23033145049168]","[0.8600335211293328, 1.3361309281319063, 8.625803745791377, 8.82098339877529]"
"[-0.21659617903170197, -0.04349795400351333, 1.7044842863084435, 1.958169299378894]","[-1.3029291947939268, -0.6628140176095096, 4.76749251311867, 4.987694395629365]","[-0.06237311947711133, 2.259493681507907, 8.835402235630493, 9.120564586754252]","[1.5818984933027422, -1.5531817098948864, 13.724040593579502, 13.933571718237484]"
"[0.068123799925844, -1.2387727622315874, 8.175657298113396, 8.322314906968016]","[0.2632942001888985, 0.6421793897865208, -0.018684962677482292, 0.7023040262692204]","[0.02093983042756606, 0.9346540965949494, 7.417900003277738, 7.477327117919338]","[-0.35235783054230774, -0.33806072414987953, 13.456547289923458, 13.498053948843426]"
"[0.663311506884608, -1.090354922647301, 6.021942671189623, 6.226797242048687]","[-0.7004333626165544, 0.2973622487580147, 20.480238293738175, 20.494642114067677]","[-0.7085045936906195, 0.38152773205107865, 1.1239661748359402, 1.3863642179254647]","[0.7456264494225887, 0.4114649418381967, 1.405272488873286, 1.8921964259580903]"
"[0.12079883997747477, -1.8910970785398116, 9.67907382821146, 9.907354088663316]","[-1.1819484782134984, 0.41688772663661305, 9.748028044420902, 9.8288357372352]","[0.3660878421864986, 2.0966525931676374, 4.329088220425771, 4.825157079083178]","[0.6950617960495221, -0.6224432412644314, 5.2752295355789975, 5.438653095018321]"
"[-0.4273674082382127, 1.8699270660463096, 8.795611319566019, 9.05109954452047]","[0.39511634308731586, 0.27840674239378294, 8.221265951060904, 8.236140157247346]","[1.089733026057375, -1.6354531279834041, 3.09801507019551, 3.6702978067226844]","[-1.0574819609064845, -0.5128806804566826, 8.916527287814667, 9.042462491509482]"
"[0.41329672694554886, 0.33339600357034666, 2.6134636833477307, 2.8271034381256843]","[-2.6065915622057547, -1.0104764459039612, 19.93512372651937, 20.13046705430573]","[0.6355164471523629, -0.26882348989177185, 1.502063868595003, 1.6563534349954807]","[1.557778388107858, 0.9459039322253966, 4.980768350174991, 5.386076072573083]"
"[-1.99776021740415, 0.04742646389821111, 9.62406915752423, 9.874024339169603]","[0.8447904734636833, -1.366508291395773, 4.089511159132301, 4.395029122558803]","[1.094913078955881, 0.8504014232838755, 13.884342119724062, 13.953785756621734]","[0.058056664984583145, 0.46868040421368706, 1.433497192256521, 1.777160781649867]"
"[1.5407780426098865, 0.6954491102254959, 14.219472931925196, 14.350310493130088]","[-1.4608873062933525, 0.2111990586309478, 2.622946004812484, 3.011611880900562]","[0.6413157912861176, -1.7616753152374907, 7.03250519496485, 7.278878951503566]","[-0.7212065276026487, 0.8550271463810526, 5.156495496934565, 5.359198674465768]"
"[0.212951107039068, -0.36323318587044945, 3.7587582127944232, 3.8969095665078353]","[-0.5670938700787395, 0.6994411655487764, 5.691912173254376, 5.763665604678195]","[2.3214494063718996, 0.33973484160234757, 4.39475742769514, 4.982931222703021]","[-1.967306643332227, -0.6759428212806738, 15.185991814893171, 15.356493606110948]"
"[-0.9389596822340793, -0.8792583577506203, 2.536754031586403, 2.995031870830309]","[-0.9643875501116403, 0.9331420075182605, 5.861564214149566, 6.014141335433378]","[2.2973040836869494, 0.8933432161398446, 13.461019532337664, 13.685243096769891]","[-0.3939568513412303, -0.9472268659074857, 7.1720818505634485, 7.305583696966398]"
"[-0.22283843991334926, 0.5974597903377157, 3.270719862474448, 3.461874916305075]","[-0.35529340446567936, -0.25172150369143886, 6.469130682617806, 6.48462894238588]","[2.5754578987195855, 0.02949075780853, 5.41168034180717, 5.994272335132878]","[-1.9973260543405456, -0.37522904445480787, 13.879888741737687, 14.059223806176167]"
"[0.46619060948042723, 0.3052805823225153, 10.059144719193327, 10.118165680891469]","[0.5961002280805484, -0.0543705343566154, 7.778060732115137, 7.801774413706113]","[0.7684625128297763, -0.7819325617406058, 0.5598496708417623, 1.2355356861056301]","[-1.8307533503907556, 0.5310225137747082, 10.634364506486873, 10.844524219296776]"
"[-1.0887479299774359, 1.1816270246903708, 4.91560520186793, 5.255962645141594]","[0.005334515013232788, -1.4352142009152797, 11.936289292446883, 12.022729887405164]","[1.5520014271684097, -0.5737505499370554, 2.854550209431637, 3.3011389905025297]","[-0.46858801220421065, 0.8273377261619695, 9.324974924890627, 9.420168476950682]"
"[0.6767955169961352, 0.8662983101222984, 7.013333904031129, 7.160707488046368]","[-0.785536335648115, -0.7419867504122247, 3.42067701264255, 3.588844731970989]","[1.9984555039709617, 0.9767297277719134, 5.416246843822602, 5.856169298154514]","[-1.889714685318984, -1.1010412874819875, 13.181161868140828, 13.394278481828126]"
"[1.8065374708952713, -1.2817430151715423, 13.044194502096843, 13.264154980442864]","[-0.8793757034565755, 1.7055665790107406, 3.7998758842498868, 4.258224903869687]","[0.36291055921711607, -0.5577257556583315, 7.381265054388095, 7.411949777798743]","[-1.2900723266558172, 0.1339021918191441, 4.806084187902292, 5.065670337888714]"
"[-1.1790708538197419, 0.3383178110353334, 3.6530612700538323, 3.9660910237086426]","[1.6622983169253298, -1.0315517734507635, 3.917369458259533, 4.3799865115352565]","[0.7146712576208196, -0.10977052465474668, 12.959530651601415, 12.980115673495089]","[-1.19789872072639, 0.803004487070168, 8.501458248722376, 8.67380679126106]"
"[0.6750777874640282, 0.7223008746190783, 4.3083568561257115, 4.518820832729732]","[0.13231035956350223, -1.0767430788064334, 2.3548958258736143, 2.5949141898502823]","[-0.16290897816597888, -0.263767453218466, 20.99863692527002, 21.00119113138162]","[-0.6444791688615519, 0.6182096574058149, 1.3695300213677557, 1.8850738460383596]"
"[1.250670070140162, 0.5300348162750106, 5.845267998539117, 6.0739299346911775]","[0.01730071592864524, 1.400773198452127, 1.5963102282009816, 2.1264606335167637]","[0.3114298445450673, -0.6501366444580232, 7.168522545423488, 7.2054524702997895]","[-1.579400630613871, -1.2806713702691068, 14.421318856473533, 14.594156961492278]"
"[0.9493642616937084, -0.5599738954247722, 6.345033305897163, 6.508046194048311]","[-0.8428860500205265, -1.0356453016237224, 1.444562536235492, 1.97001081676056]","[-1.2754550353933805, 1.2053681975599522, 8.065216576354462, 8.254609625867602]","[1.168976823720203, 0.39025099948854225, 13.176607210149987, 13.26733336332352]"
"[-1.3883516049098354, -0.012018116872464254, 8.631356680092603, 8.792515970923914]","[2.456200649741452, -0.2679267783359338, 10.179617121447707, 10.475708794280946]","[-0.2587491922984157, 1.4827526724396616, 5.582138825433097, 5.782468686600355]","[-0.8090998525332024, -1.2028077772312642, 4.638307001663696, 4.94930654819478]"
"[0.15858860189402693, 0.2961343768338526, 0.6604009592916107, 1.1955457694336724]","[-0.28645490134770735, -1.4488979172653453, 15.645894111467971, 15.71580503014065]","[1.2103540036956872, 0.45015169466658844, 3.6224320433107056, 3.8471770018861315]","[-1.0824877042420378, 0.7026118457649377, 9.102692514566673, 9.241472198539395]"
"[2.3228806917157137, 0.11289362132225764, 7.149376297977135, 7.576440818335623]","[-1.7882182352202134, 0.3300319941232441, 5.019965089577107, 5.3402114834017524]","[0.004209806969362018, -0.7706289328301784, 13.755076447238325, 13.777052600499289]","[-0.5388722634648822, 0.32770331738467146, 3.1070017938446055, 3.306295097763398]"
"[0.5464487059027899, 0.40753401000720724, 1.8986284519902874, 2.2248223529501003]","[0.37922906422495434, 0.7541947371374718, 5.737955476510585, 5.800682808778689]","[-2.2435308298944983, -1.8736458539212844, 16.775287434826176, 17.028370782450224]","[1.3178530597667464, 0.7119171067766014, 4.619548265309963, 4.946124055820883]"
"[1.690648023128237, 0.5394203685923553, 4.614386779213618, 5.032115337144525]","[0.011829545887403703, 0.5450052872533498, 0.7831623058139585, 0.9600403697250677]","[-1.8293238039940862, -1.7465059666942688, 20.707757297649508, 20.86190510434938]","[0.12684623497844486, 0.6620803108485626, 2.9261132459599906, 3.145939188780998]"
"[1.1523669396502505, 0.7104920593642736, 7.09930607980387, 7.287883759414852]","[0.13650076664506464, 1.6988910887294697, 5.499573177451783, 5.758587686036412]","[-0.08541783139978787, -1.2145790062279853, 1.6981323618641946, 2.0922035034062225]","[-1.2034498748955262, -1.1948041418657478, 14.73440800951726, 14.861325051142511]"
"[2.1322789015475814, 0.9757666963194136, 10.377164137662119, 10.680104112114067]","[-0.446249563213697, 0.30400887342009153, 10.373117438567624, 10.387698930709647]","[-1.9461151208462328, -1.2962347621908281, 5.241644196055845, 5.740521414759133]","[0.26008578251233827, 0.016459192451319327, 3.0394938563515495, 3.191675542417182]"
"[1.412293699503836, 0.0007877722271289792, 2.838829766650016, 3.306642240135073]","[-1.6742507150614694, 0.700024222196755, 23.21409854986769, 23.28516017691266]","[0.42327540662592394, -0.02965175426506439, 0.4671840780088226, 0.6398952039938166]","[-0.1613183910683071, -0.6711602401588108, 2.511307234110671, 2.7683023789585364]"
"[-0.938270410195192, -0.6026655467680961, 6.866334733402664, 7.019292282062699]","[0.044123721983148664, 0.2854852061819215, -0.09712389622031675, 0.32256064541632234]","[1.136054375315389, 1.9805947478288772, 12.709590389375338, 12.913490100567952]","[-0.2419076871033441, -1.6634144072427002, 9.552618402079435, 9.744656971953038]"
